3.6.3.31|3.6.3.32	1013
3.6.3.27|3.6.3.31	864
2.3.1.179|2.3.1.41	993
6.3.2.13|6.3.2.7	114
3.6.3.27|3.6.3.32	372
1.10.3.10|1.10.3.14	629
6.1.1.12|6.1.1.23	418
5.4.4.3|6.3.1.2	447
3.6.3.31|3.6.3.39	377
1.4.1.2|1.4.1.3	621
1.2.1.12|1.2.1.59	1174
5.4.3.3|5.4.3.4	54
4.2.1.2|4.3.1.1	265
3.6.3.54|3.6.3.8	843
3.6.3.32|3.6.3.39	342
3.6.3.27|3.6.3.39	48
3.6.3.20|3.6.3.31	306
3.6.3.12|3.6.3.8	340
3.6.3.12|3.6.3.54	512
3.2.1.122|3.2.1.86	112
2.5.1.55|5.3.1.13	257
2.1.3.3|2.1.3.6	88
1.3.1.31|1.6.99.1	76
1.1.1.23|1.1.1.308	159
1.17.7.1|1.17.7.3	205
1.1.1.85|1.1.1.87	67
4.2.1.150|4.2.1.17	66
4.2.1.149|4.2.1.17	29
4.2.1.149|4.2.1.150	35
4.1.2.13|4.1.2.40	65
3.6.3.20|3.6.3.32	204
3.6.3.20|3.6.3.27	195
2.7.3.9|2.7.9.2	97
2.6.1.62|2.6.1.82	32
2.6.1.48|2.6.1.82	26
2.6.1.48|2.6.1.62	30
2.6.1.13|2.6.1.82	21
2.6.1.13|2.6.1.62	16
2.6.1.13|2.6.1.48	13
2.5.1.31|2.5.1.88	515
1.2.1.69|1.2.1.79	53
1.2.1.59|1.2.1.72	63
1.2.1.20|1.2.1.79	101
1.2.1.20|1.2.1.69	54
1.2.1.19|1.2.1.79	61
1.2.1.19|1.2.1.69	20
1.2.1.19|1.2.1.20	61
1.2.1.12|1.2.1.72	66
1.1.1.83|1.1.1.87	15
1.1.1.83|1.1.1.85	17
1.1.1.42|1.1.1.87	15
1.1.1.42|1.1.1.85	4
3.6.3.19|3.6.3.39	51
2.5.1.68|2.5.1.88	206
2.4.2.2|2.4.2.4	148
1.1.1.343|1.1.1.44	272
3.6.3.19|3.6.3.31	56
3.6.3.19|3.6.3.20	78
3.5.4.3|3.5.4.33	4
2.5.1.68|2.5.1.86	91
2.5.1.31|2.5.1.86	122
2.5.1.31|2.5.1.68	199
2.4.1.279|2.4.1.332	45
2.1.2.1|6.2.1.30	1
1.2.1.11|2.7.2.4	10
2.3.1.16|2.3.1.9	250
1.3.8.10|1.3.8.11	35
5.3.1.1|5.4.2.12	15
2.5.1.86|2.5.1.88	111
2.5.1.48|4.4.1.8	8
4.1.2.13|4.1.2.29	48
1.1.1.127|1.1.1.311	103
2.7.2.1|2.7.2.15	64
4.1.2.13|6.3.4.4	16
2.6.1.19|2.6.1.48	16
2.6.1.105|2.6.1.62	28
2.6.1.105|2.6.1.48	16
2.6.1.105|2.6.1.19	10
1.2.3.3|1.2.5.1	10
5.4.3.2|5.4.3.9	28
2.7.8.31|2.7.8.36	2
6.2.1.26|6.2.1.3	11
4.4.1.15|4.4.1.25	5
1.2.1.69|1.2.1.8	25
1.2.1.3|1.2.1.8	19
1.2.1.3|1.2.1.69	6
2.6.1.105|2.6.1.82	26
2.6.1.105|2.6.1.13	10
5.1.3.14|5.1.3.23	24
2.6.1.18|2.6.1.81	41
1.11.1.6|2.7.2.4	3
2.6.1.81|2.6.1.82	14
2.6.1.13|2.6.1.81	7
2.6.1.105|2.6.1.81	5
4.2.1.115|5.1.3.2	4
4.2.1.11|5.4.2.12	4
2.6.1.1|2.6.1.2	13
1.2.1.88|1.2.1.9	3
2.6.1.62|2.6.1.81	1
2.3.1.136|2.3.1.89	2
1.2.1.8|1.2.1.92	1
2.5.1.7|3.6.3.14	6
1.1.1.81|1.1.1.95	13
