586382	11118
1.1.1.1	1
1.1.1.6	147
1.1.1.22	22
1.1.1.23	1008
1.1.1.27	4880
1.1.1.37	661
1.1.1.42	50
1.1.1.44	309
1.1.1.60	48
1.1.1.81	6
1.1.1.83	3
1.1.1.85	75
1.1.1.87	145
1.1.1.94	269
1.1.1.95	111
1.1.1.100	1002
1.1.1.103	1
1.1.1.127	3448
1.1.1.133	11
1.1.1.136	113
1.1.1.184	2
1.1.1.192	2
1.1.1.205	211
1.1.1.262	50
1.1.1.268	5
1.1.1.271	390
1.1.1.274	59
1.1.1.283	68
1.1.1.302	26
1.1.1.308	10
1.1.1.310	2
1.1.1.311	68
1.1.1.333	1164
1.1.1.336	5
1.1.1.343	23
1.1.1.350	1
1.1.2.7	1
1.1.3.15	73
1.1.98.3	760
1.2.1.n2	18
1.2.1.3	13
1.2.1.5	1
1.2.1.8	83
1.2.1.9	68
1.2.1.10	5
1.2.1.11	13699
1.2.1.12	709
1.2.1.19	22
1.2.1.20	1
1.2.1.41	183
1.2.1.59	27
1.2.1.69	21
1.2.1.70	319
1.2.1.71	1
1.2.1.88	174
1.2.1.92	4
1.2.2.3	2
1.2.3.3	1
1.2.4.1	29
1.2.4.4	596
1.2.5.1	164
1.2.7.10	1
1.2.99.2	13
1.3.1.1	9
1.3.1.n3	5
1.3.1.14	43
1.3.1.31	424
1.3.1.84	844
1.3.1.98	54
1.3.3.4	26
1.3.5.1	1
1.3.5.5	2
1.3.8.10	41
1.3.8.11	62
1.4.1.1	1021
1.4.1.2	170
1.4.1.3	135
1.4.1.4	259
1.4.1.11	122
1.4.3.16	1
1.4.7.1	28
1.5.1.2	134
1.5.1.24	2
1.5.1.38	49
1.5.1.39	16
1.5.1.43	7
1.6.1.2	52108
1.6.3.4	86
1.6.5.2	3
1.6.99.1	489
1.7.1.13	30
1.7.2.1	2
1.7.99.1	277
1.7.99.4	1656
1.8.1.2	13
1.8.1.4	1134
1.8.1.9	1464
1.8.1.14	18
1.8.4.11	21
1.8.4.12	92
1.8.4.14	18
1.8.5.3	1629
1.8.7.1	2
1.9.3.1	13
1.10.3.9	247
1.10.3.10	101
1.10.3.14	154
1.11.1.1	1168
1.11.1.6	7007
1.11.1.15	123
1.11.1.21	1394
1.11.1.22	247
1.12.7.2	164
1.13.11.2	1
1.13.11.5	3
1.13.11.24	79
1.13.11.29	59
1.13.12.16	1
1.14.12.17	3
1.14.14.9	35
1.14.16.1	3
1.14.99.3	40
1.15.1.1	65
1.15.1.2	18
1.17.1.8	81
1.17.2.1	13
1.17.4.1	1820
1.17.7.1	5
1.17.7.3	1134
1.18.1.1	16
1.18.1.2	8
1.97.1.12	1
2.1.1.13	4
2.1.1.37	15
2.1.1.45	1
2.1.1.63	165
2.1.1.74	14
2.1.1.170	15
2.1.1.171	5
2.1.1.173	21
2.1.1.178	21
2.1.1.187	1
2.1.1.190	1
2.1.1.191	2
2.1.1.192	162
2.1.1.196	6
2.1.1.198	60
2.1.1.199	820
2.1.1.207	37
2.1.1.228	529
2.1.1.265	1
2.1.1.271	48
2.1.2.1	2785
2.1.2.2	7
2.1.2.10	66
2.1.2.11	61
2.1.3.2	483
2.1.3.3	557
2.1.3.6	33
2.1.3.9	4
2.2.1.1	1345
2.2.1.2	115
2.2.1.6	113
2.2.1.7	89
2.3.1.n2	214
2.3.1.n3	156
2.3.1.n4	2
2.3.1.8	141
2.3.1.9	811
2.3.1.12	20
2.3.1.16	6
2.3.1.29	166
2.3.1.39	233
2.3.1.41	48
2.3.1.47	7
2.3.1.54	1192
2.3.1.57	4
2.3.1.61	2
2.3.1.89	173
2.3.1.129	1
2.3.1.179	7921
2.3.1.180	213
2.3.1.181	165
2.3.1.204	2
2.3.1.222	40
2.3.1.234	6478
2.3.2.16	44
2.3.3.13	203
2.3.3.16	229
2.4.1.1	336
2.4.1.15	149
2.4.1.18	312
2.4.1.20	140
2.4.1.21	2
2.4.1.57	86
2.4.1.109	29
2.4.1.157	66
2.4.1.211	73
2.4.1.250	2
2.4.1.279	111
2.4.1.287	162
2.4.1.319	8
2.4.1.329	41
2.4.1.332	1
2.4.1.333	33
2.4.2.1	972
2.4.2.2	466
2.4.2.3	7
2.4.2.4	2
2.4.2.7	36
2.4.2.8	45
2.4.2.9	2735
2.4.2.10	149
2.4.2.14	196
2.4.2.19	8
2.4.2.21	338
2.4.2.22	39
2.4.2.29	1142
2.4.2.44	6
2.4.2.46	528
2.4.99.12	43
2.4.99.16	2
2.5.1.3	116
2.5.1.6	6984
2.5.1.7	3034
2.5.1.9	348
2.5.1.15	75
2.5.1.16	11
2.5.1.17	1
2.5.1.19	42
2.5.1.30	2
2.5.1.31	506
2.5.1.47	10080
2.5.1.48	772
2.5.1.54	661
2.5.1.55	6496
2.5.1.61	1075
2.5.1.68	104
2.5.1.75	75
2.5.1.78	1962
2.5.1.88	16
2.5.1.97	4
2.5.1.101	292
2.6.1.1	79
2.6.1.2	298
2.6.1.13	139
2.6.1.16	148
2.6.1.19	7
2.6.1.34	2
2.6.1.39	10
2.6.1.42	88
2.6.1.48	17
2.6.1.51	3
2.6.1.52	15
2.6.1.59	248
2.6.1.62	6
2.6.1.81	79
2.6.1.82	32
2.6.1.83	24
2.6.1.85	14
2.6.1.88	1
2.6.1.98	2
2.6.1.102	230
2.6.1.105	43
2.7.1.6	10
2.7.1.11	2900
2.7.1.15	4
2.7.1.23	24
2.7.1.30	1216
2.7.1.33	122
2.7.1.35	92
2.7.1.39	6
2.7.1.40	160
2.7.1.50	186
2.7.1.69	1550
2.7.1.85	7
2.7.1.90	563
2.7.1.100	3
2.7.1.107	1
2.7.1.148	69
2.7.1.162	17
2.7.1.180	3
2.7.2.1	303
2.7.2.2	72
2.7.2.3	1120
2.7.2.4	58007
2.7.2.7	1597
2.7.2.8	146
2.7.3.9	2544
2.7.4.3	284
2.7.4.6	44
2.7.4.8	98
2.7.4.22	2283
2.7.4.25	2
2.7.6.1	57
2.7.6.5	90
2.7.7.3	61
2.7.7.4	7
2.7.7.6	5123
2.7.7.7	1285
2.7.7.8	4648
2.7.7.9	75
2.7.7.12	16
2.7.7.13	11
2.7.7.19	3
2.7.7.24	1123
2.7.7.27	157
2.7.7.33	26
2.7.7.56	963
2.7.7.63	69
2.7.7.65	26
2.7.7.72	2
2.7.7.75	33
2.7.7.80	162
2.7.7.85	481
2.7.7.87	871
2.7.8.7	2
2.7.8.12	4618
2.7.8.13	504
2.7.8.26	560
2.7.8.31	187
2.7.8.35	5
2.7.8.36	39
2.7.8.37	6
2.7.9.2	34
2.7.10.2	4
2.7.11.1	426
2.7.13.3	6343
2.7.14.1	1386
2.8.1.1	24
2.8.1.7	103
2.8.1.8	12
2.8.1.10	271
2.8.3.8	2
2.8.4.3	45
2.8.4.4	10
2.8.4.5	59
2.9.1.1	110
3.1.1.1	6
3.1.1.29	12
3.1.1.61	219
3.1.1.96	2
3.1.3.3	1
3.1.3.5	46
3.1.3.11	406
3.1.3.16	2
3.1.3.23	22
3.1.3.70	2
3.1.3.89	59
3.1.3.97	1
3.1.4.52	1073
3.1.13.1	179
3.1.21.2	3
3.1.22.4	1
3.1.26.3	1981
3.1.26.4	328
3.1.26.8	43
3.1.26.12	27
3.2.1.8	203
3.2.1.14	4
3.2.1.17	7
3.2.1.23	841
3.2.1.31	36
3.2.1.52	8
3.2.1.54	178
3.2.1.55	82
3.2.1.67	4
3.2.1.70	10
3.2.1.80	42
3.2.1.86	2362
3.2.1.96	2
3.2.1.99	8
3.2.1.131	2
3.2.1.156	5
3.2.1.172	8
3.2.1.180	24
3.2.2.8	62
3.2.2.9	5
3.2.2.20	6
3.2.2.21	46
3.2.2.26	1
3.2.2.27	4952
3.3.1.1	2
3.4.11.4	1667
3.4.11.9	19
