1.1.1.1	110
1.1.1.18	102
1.1.1.42	2
1.1.1.81	1
1.1.1.95	18
1.1.1.100	273
1.1.1.205	9
1.1.1.310	2
1.1.5.6	4332
1.2.1.12	13
1.2.1.41	23
1.2.1.59	3
1.2.1.71	17
1.2.2.3	42
1.2.7.10	15
1.3.1.98	5
1.3.5.2	284
1.4.1.1	85
1.4.1.4	20
1.4.1.11	1
1.4.3.16	156
1.5.1.43	2
1.5.1.49	1
1.6.1.2	1717
1.7.2.2	91
1.7.99.1	24
1.8.1.4	4668
1.8.1.7	1
1.8.1.8	2
1.8.1.9	37
1.8.1.15	1
1.8.4.12	122
1.8.4.13	2
1.10.3.10	801
1.10.3.14	527
1.11.1.1	2288
1.11.1.15	19
1.11.1.21	23
1.11.1.22	16
1.12.7.2	22217
1.14.99.44	133
1.17.4.1	2
2.1.1.198	6
2.1.1.199	106
2.1.1.207	1
2.1.1.228	31
2.1.2.1	5
2.1.2.10	40697
2.1.3.3	56467
2.2.1.1	1
2.2.1.6	256
2.3.1.9	1402
2.3.1.29	20
2.3.1.39	10
2.3.1.41	1053
2.3.1.61	53
2.3.1.129	1
2.3.3.13	150
2.4.1.1	133
2.4.1.18	3
2.4.2.1	4072
2.4.2.8	3
2.4.2.9	112
2.4.2.14	33
2.4.2.46	1
2.4.2.47	1
2.5.1.3	64
2.5.1.6	1
2.5.1.7	1
2.5.1.9	70
2.5.1.19	298
2.5.1.47	338
2.5.1.48	81
2.5.1.55	2
2.5.1.61	110
2.5.1.78	1412
2.6.1.1	588
2.6.1.16	21
2.6.1.82	2
2.6.1.83	2
2.7.1.4	118
2.7.1.11	5
2.7.1.30	2412
2.7.1.33	12
2.7.1.69	1
2.7.1.148	6
2.7.2.1	9
2.7.2.2	4001
2.7.2.3	15
2.7.2.4	14458
2.7.2.7	32619
2.7.2.11	2
2.7.3.9	41
2.7.4.3	22
2.7.4.22	71
2.7.6.1	8
2.7.6.5	12
2.7.7.6	359
2.7.7.7	1256
2.7.7.8	71
2.7.7.13	44
2.7.7.24	71
2.7.7.27	1
2.7.7.59	18
2.7.7.63	20219
2.7.7.65	1
2.7.7.85	17674
2.7.8.7	5
2.7.8.12	4
2.7.8.13	28067
2.7.8.26	44
2.7.8.31	1
2.7.8.35	1
2.7.11.1	51
2.7.13.3	6573
2.8.1.1	5
2.8.1.7	3
2.8.1.10	3702
2.8.4.4	37
2.8.4.5	2
2.9.1.1	14150
3.1.3.97	176
3.1.4.52	3222
3.1.26.3	2
3.1.26.12	1
3.2.1.70	476
3.2.1.86	77
3.2.1.96	3
3.2.1.178	1
3.2.2.27	1487
3.4.11.4	11032
3.4.11.18	30
3.4.19.11	23
3.4.21.62	1
3.4.21.92	2
3.4.21.107	5
3.4.24.26	4
3.4.24.30	3168
3.4.25.2	16
3.5.1.5	1
3.5.1.25	4
3.5.1.47	17
3.5.4.13	3
3.5.4.25	976
3.5.4.33	1
3.5.99.10	20
3.6.1.8	68
3.6.1.27	927
3.6.3.8	403
3.6.3.14	2
3.6.3.17	14
3.6.3.19	135
3.6.3.20	20
3.6.3.27	60
3.6.3.31	5040
3.6.3.32	589
3.6.3.39	947
3.6.3.54	160
3.6.4.12	3987
3.6.4.13	365
3.6.5.n1	22190
3.7.1.22	331
4.1.1.23	1366
4.1.1.31	28
4.1.1.37	1
4.1.1.81	13
4.1.2.13	132
4.1.2.29	236
4.1.2.40	123
4.1.99.12	346
4.1.99.13	6
4.1.99.14	60
4.1.99.17	19
4.2.1.2	1650
4.2.1.7	7
4.2.1.8	296
4.2.1.11	6
4.2.1.44	64
4.2.1.46	47
4.2.1.53	1
4.2.1.59	151
4.2.1.115	681
4.2.1.150	27
4.2.3.1	1
4.2.3.130	1010
4.3.1.1	1
4.3.1.2	3899
4.3.1.19	22
4.3.2.1	41
4.4.1.8	45
4.4.1.15	667
4.4.1.21	27
5.1.1.3	99
5.1.3.2	142
5.1.3.4	414
5.1.3.13	37
5.1.3.14	2
5.2.1.8	129
5.3.1.8	187
5.3.1.9	2
5.4.2.2	2
5.4.2.6	4
5.4.2.10	1092
5.4.3.2	14
5.4.3.5	4
5.4.3.8	29
5.4.99.21	2
5.4.99.23	14
5.99.1.3	2693
6.1.1.2	19717
6.1.1.3	1
6.1.1.5	2
6.1.1.6	93
6.1.1.7	1
6.1.1.11	2241
6.1.1.13	172
6.1.1.17	674
6.1.1.18	1
6.1.1.20	12384
6.1.1.23	59913
6.2.1.1	1
6.2.1.n2	16
6.2.1.5	599
6.3.2.4	302
6.3.2.7	2
6.3.2.8	9
6.3.2.10	19
6.3.2.13	275
6.3.4.4	143
6.3.4.5	899
6.3.4.20	12
6.3.4.21	21
6.3.5.5	4
6.3.5.7	74
6.4.1.2	369
6.5.1.2	5
6.6.1.1	2
