3.6.3.27|3.6.3.31	9294
3.6.3.19|3.6.3.31	6459
3.6.3.19|3.6.3.27	6331
3.6.3.31|3.6.3.39	7176
3.6.3.27|3.6.3.39	6140
3.6.3.19|3.6.3.39	4600
3.6.3.20|3.6.3.31	1552
3.6.3.20|3.6.3.27	1512
3.6.3.19|3.6.3.20	1704
1.1.5.6|1.2.2.3	1060
3.6.3.31|3.6.3.32	1393
3.6.3.27|3.6.3.32	1073
3.6.3.20|3.6.3.32	839
3.6.3.19|3.6.3.32	1112
6.3.2.13|6.3.2.7	82
4.1.2.13|4.1.2.40	238
1.10.3.10|1.10.3.14	2848
3.6.3.32|3.6.3.39	1309
4.2.1.150|4.2.1.17	97
3.6.3.20|3.6.3.39	501
4.2.1.115|5.1.3.2	130
3.6.3.54|3.6.3.8	234
2.1.3.3|2.1.3.6	100
2.4.1.25|3.2.1.70	36
1.14.99.44|1.8.1.4	465
4.2.1.2|4.3.1.1	51
3.6.3.12|3.6.3.8	4
3.6.3.12|3.6.3.54	4
3.4.11.1|3.4.11.24	2
2.5.1.78|3.5.4.25	2
6.1.1.12|6.1.1.23	2
2.1.3.3|3.4.11.4	2
2.8.4.4|2.8.4.5	1
1.2.1.12|1.2.1.59	24
2.7.2.1|2.7.2.15	9
2.3.1.12|2.3.1.61	2
4.1.2.13|4.1.2.29	30
5.4.3.2|5.4.3.9	7
2.7.7.85|6.1.1.2	2
1.2.1.59|1.2.1.72	1
1.2.1.12|1.2.1.72	1
