OTUs	Lineage
39	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Erysipelotrichia;f_Erysipelotrichales;g_Turicibacteraceae;s_Turicibacter
40	r_Root;k_Bacteria;p_Proteobacteria;c_Delta/Epsilon__Subdivisions;o_Epsilonproteobacteria;f_Campylobacterales;g_Campylobacteraceae;s_Campylobacter
41	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Bacilli;f_Bacillales;g_Paenibacillaceae;s_Paenibacillus
42	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Cyanobacteria/Melainabacteria__Group;o_Cyanobacteria;f_Oscillatoriophycideae;g_Chroococcales;s_Chroococcaceae
43	r_Root;k_Duplodnaviria;p_Heunggongvirae;c_Uroviricota;o_Caudoviricetes;f_Caudovirales;g_Herelleviridae;s_Twortvirinae
44	r_Root;k_Duplodnaviria;p_Heunggongvirae;c_Uroviricota;o_Caudoviricetes;f_Caudovirales;g_Herelleviridae;s_Twortvirinae
45	r_Root;k_Bacteria;p_Fcb__Group;c_Bacteroidetes/Chlorobi__Group;o_Bacteroidetes;f_Flavobacteriia;g_Flavobacteriales;s_Weeksellaceae
46	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Tenericutes;o_Mollicutes;f_Entomoplasmatales;g_Entomoplasmataceae;s_Mesoplasma
47	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Cyanobacteria/Melainabacteria__Group;o_Cyanobacteria;f_Nostocales;g_Nostocaceae;s_Nostoc
48	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Cedecea;s_Cedecea__Neteri
49	r_Root;k_Bacteria;p_Fcb__Group;c_Bacteroidetes/Chlorobi__Group;o_Bacteroidetes;f_Sphingobacteriia;g_Sphingobacteriales;s_Sphingobacteriaceae
50	r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Caulobacter;s_Caulobacter__Segnis
51	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Bacilli;f_Bacillales;g_Bacillales__Incertae__Sedis;s_Bacillales__Family__Xii.__Incertae__Sedis
52	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Thiotrichales;f_Piscirickettsiaceae;g_Thiomicrospira;s_Thiomicrospira__Aerophila
53	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Clostridia;f_Clostridiales;g_Clostridiaceae;s_Clostridium
54	r_Root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Chitinimonas;s_Chitinimonas__Arctica
55	r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingosinithalassobacter;s_Unclassified__Sphingosinithalassobacter
56	r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Liberibacter;s_Liberibacter__Crescens
57	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Clostridia;f_Clostridiales;g_Oscillospiraceae;s_Oscillibacter
58	r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bartonellaceae;g_Bartonella;s_Bartonella__Krasnovii
59	r_Root;k_Bacteria;p_Proteobacteria;c_Delta/Epsilon__Subdivisions;o_Epsilonproteobacteria;f_Campylobacterales;g_Campylobacteraceae;s_Campylobacter
60	r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Holosporales;f_Holosporaceae;g_Candidatus__Cytomitobacter;s_Candidatus__Cytomitobacter__Primus
61	r_Root;k_Bacteria;p_Pvc__Group;c_Planctomycetes;o_Planctomycetia;f_Pirellulales;g_Pirellulaceae;s_Rosistilla
62	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Thiotrichales;f_Piscirickettsiaceae;g_Thiomicrorhabdus;s_Thiomicrorhabdus__Xiamenensis
63	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Chromatiales;f_Halothiobacillaceae;g_Halothiobacillus;s_Halothiobacillus__Neapolitanus
64	r_Root;k_Bacteria;p_Fcb__Group;c_Bacteroidetes/Chlorobi__Group;o_Bacteroidetes;f_Saprospiria;g_Saprospirales;s_Haliscomenobacteraceae
65	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Xanthomonas;s_Xanthomonas__Campestris
66	r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Acetobacteraceae;g_Acetobacter;s_Acetobacter__Subgen.__Acetobacter
67	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Thiotrichales;f_Francisellaceae;g_Allofrancisella;s_Allofrancisella__Frigidaquae
68	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Bacilli;f_Bacillales;g_Bacillaceae;s_Geobacillus
69	r_Root;k_Bacteria;p_Fcb__Group;c_Bacteroidetes/Chlorobi__Group;o_Bacteroidetes;f_Cytophagia;g_Cytophagales;s_Cytophagaceae
70	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Actinobacteria;o_Actinomycetia;f_Bifidobacteriales;g_Bifidobacteriaceae;s_Bifidobacterium
71	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Bacilli;f_Bacillales;g_Paenibacillaceae;s_Paenibacillus
72	r_Root;k_Bacteria;p_Spirochaetes;c_Spirochaetia;o_Leptospirales;f_Leptospiraceae;g_Leptospira;s_Leptospira__Mayottensis
73	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Rhodanobacteraceae;g_Dyella;s_Unclassified__Dyella
74	r_Root;k_Baculoviridae;p_Alphabaculovirus;c_Choristoneura__Fumiferana__Multiple__Nucleopolyhedrovirus
75	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Clostridia;f_Clostridiales;g_Eubacteriaceae;s_Eubacterium
76	r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Rhodobaca;s_Rhodobaca__Barguzinensis
77	r_Root;k_Bacteria;p_Fcb__Group;c_Bacteroidetes/Chlorobi__Group;o_Bacteroidetes;f_Cytophagia;g_Cytophagales;s_Cytophagaceae
78	r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Rhizobium/Agrobacterium__Group;s_Neorhizobium
79	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Clostridia;f_Halanaerobiales;g_Halobacteroidaceae;s_Halobacteroides
80	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Cyanobacteria/Melainabacteria__Group;o_Cyanobacteria;f_Synechococcales;g_Synechococcaceae;s_Synechococcus
81	r_Root;k_Bacteria;p_Synergistetes;c_Synergistia;o_Synergistales;f_Synergistaceae;g_Thermovirga;s_Thermovirga__Lienii
82	r_Root;k_Bacteria;p_Fcb__Group;c_Bacteroidetes/Chlorobi__Group;o_Bacteroidetes;f_Cytophagia;g_Cytophagales;s_Hymenobacteraceae
83	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Actinobacteria;o_Actinomycetia;f_Micrococcales;g_Microbacteriaceae;s_Rathayibacter
84	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Actinobacteria;o_Actinomycetia;f_Streptomycetales;g_Streptomycetaceae;s_Streptomyces
85	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Actinobacteria;o_Actinomycetia;f_Corynebacteriales;g_Gordoniaceae;s_Gordonia
86	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Alteromonadaceae;g_Salinimonas;s_Unclassified__Salinimonas
87	r_Root;k_Bacteria;p_Fcb__Group;c_Bacteroidetes/Chlorobi__Group;o_Bacteroidetes;f_Chitinophagia;g_Chitinophagales;s_Chitinophagaceae
88	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Legionellales;f_Legionellaceae;g_Legionella;s_Legionella__Adelaidensis
89	r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Methylobacteriaceae;g_Microvirga;s_Microvirga__Thermotolerans
90	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas__Syringae__Group
91	r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Rhodospirillaceae;g_Magnetospirillum;s_Magnetospirillum__Gryphiswaldense
92	r_Root;k_Bacteria;p_Fcb__Group;c_Bacteroidetes/Chlorobi__Group;o_Bacteroidetes;f_Flavobacteriia;g_Flavobacteriales;s_Flavobacteriaceae
93	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Pectobacteriaceae;g_Dickeya;s_Dickeya__Poaceiphila
94	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Entomomonas;s_Unclassified__Entomomonas
95	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Clostridia;f_Clostridiales;g_Peptostreptococcaceae;s_Peptoclostridium
96	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Actinobacteria;o_Actinomycetia;f_Pseudonocardiales;g_Pseudonocardiaceae;s_Amycolatopsis
97	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Pseudoalteromonadaceae;g_Pseudoalteromonas;s_Unclassified__Pseudoalteromonas
98	r_Root;k_Bacteria;p_Fcb__Group;c_Bacteroidetes/Chlorobi__Group;o_Bacteroidetes;f_Flavobacteriia;g_Flavobacteriales;s_Weeksellaceae
99	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Clostridia;f_Thermoanaerobacterales;g_Thermoanaerobacterales__Family__Iii.__Incertae__Sedis;s_Caldicellulosiruptor
100	r_Root;k_Varidnaviria;p_Bamfordvirae;c_Nucleocytoviricota;o_Pokkesviricetes;f_Chitovirales;g_Poxviridae;s_Entomopoxvirinae
