lineage	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
r_Root;k_Bacteria;p_Fcb_Group;c_Bacteroidetes/Chlorobi_Group;o_Bacteroidetes;f_Flavobacteriia;g_Flavobacteriales;s_Flavobacteriaceae	1139	0.00028	0	0.00000	164	0.00005	134	0.00003	0	0.00000	0	0.00000	1182	0.00023
r_Root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Oxalobacteraceae;g_Massilia;s_Massilia_Oculi	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Actinobacteria;o_Coriobacteriia;f_Eggerthellales;g_Eggerthellaceae;s_Eggerthella	0	0.00000	0	0.00000	250	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Actinobacteria;o_Actinomycetia;f_Streptosporangiales;g_Thermomonosporaceae;s_Actinomadura	11	0.00000	0	0.00000	33	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Pvc_Group;c_Planctomycetes;o_Planctomycetia;f_Planctomycetales;g_Planctomycetaceae;s_Rubinisphaera	30	0.00001	0	0.00000	75	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Delta/Epsilon_Subdivisions;o_Deltaproteobacteria;f_Desulfuromonadales;g_Geobacteraceae;s_Geobacter	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Vibrionales;f_Vibrionaceae;g_Vibrio;s_Vibrio_Alfacsensis	0	0.00000	0	0.00000	313	0.00009	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Bacilli;f_Bacillales;g_Planococcaceae;s_Planococcus	0	0.00000	80	0.00001	161	0.00005	0	0.00000	0	0.00000	0	0.00000	34	0.00001
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Bacilli;f_Bacillales;g_Paenibacillaceae;s_Paenibacillus	17	0.00000	34	0.00000	2436	0.00070	0	0.00000	0	0.00000	0	0.00000	150	0.00003
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Actinobacteria;o_Actinomycetia;f_Corynebacteriales;g_Mycobacteriaceae;s_Mycobacterium	1843	0.00045	0	0.00000	28	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Actinobacteria;o_Actinomycetia;f_Corynebacteriales;g_Mycobacteriaceae;s_Mycobacterium	0	0.00000	0	0.00000	265	0.00008	0	0.00000	38	0.00001	0	0.00000	113	0.00002
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Alteromonadaceae;g_Agarivorans;s_Agarivorans_Gilvus	199	0.00005	0	0.00000	129	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Thiotrichales;f_Francisellaceae;g_Francisella;s_Francisella_Persica	18	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Bacilli;f_Lactobacillales;g_Lactobacillaceae;s_Levilactobacillus	0	0.00000	0	0.00000	21	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Hyphomicrobiaceae;g_Filomicrobium;s_Candidatus_Filomicrobium_Marinum	0	0.00000	0	0.00000	0	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Erysipelotrichia;f_Erysipelotrichales;g_Turicibacteraceae;s_Turicibacter	628	0.00015	0	0.00000	181	0.00005	0	0.00000	378	0.00006	0	0.00000	78	0.00001
r_Root;k_Bacteria;p_Proteobacteria;c_Delta/Epsilon_Subdivisions;o_Epsilonproteobacteria;f_Campylobacterales;g_Campylobacteraceae;s_Campylobacter	18	0.00000	0	0.00000	240	0.00007	0	0.00000	11	0.00000	0	0.00000	1168	0.00022
