Sample,Experimental_Group,1.1.1.1,1.1.1.6,1.1.1.22,1.1.1.23,1.1.1.27,1.1.1.37,1.1.1.42,1.1.1.44,1.1.1.60,1.1.1.81,1.1.1.83,1.1.1.85,1.1.1.87,1.1.1.94,1.1.1.95,1.1.1.100,1.1.1.103,1.1.1.127,1.1.1.133,1.1.1.136,1.1.1.184,1.1.1.192,1.1.1.205,1.1.1.262,1.1.1.268,1.1.1.271,1.1.1.274,1.1.1.283,1.1.1.302,1.1.1.308,1.1.1.310,1.1.1.311,1.1.1.333,1.1.1.336,1.1.1.343,1.1.1.350,1.1.2.7,1.1.3.15,1.1.98.3,1.2.1.n2,1.2.1.3,1.2.1.5,1.2.1.8,1.2.1.9,1.2.1.10,1.2.1.11,1.2.1.12,1.2.1.19,1.2.1.20,1.2.1.41,1.2.1.59,1.2.1.69,1.2.1.70,1.2.1.71,1.2.1.88,1.2.1.92,1.2.2.3,1.2.3.3,1.2.4.1,1.2.4.4,1.2.5.1,1.2.7.10,1.2.99.2,1.3.1.1,1.3.1.n3,1.3.1.14,1.3.1.31,1.3.1.84,1.3.1.98,1.3.3.4,1.3.5.1,1.3.5.5,1.3.8.10,1.3.8.11,1.4.1.1,1.4.1.2,1.4.1.3,1.4.1.4,1.4.1.11,1.4.3.16,1.4.7.1,1.5.1.2,1.5.1.24,1.5.1.38,1.5.1.39,1.5.1.43,1.6.1.2,1.6.3.4,1.6.5.2,1.6.99.1,1.7.1.13,1.7.2.1,1.7.99.1,1.7.99.4,1.8.1.2,1.8.1.4,1.8.1.9,1.8.1.14,1.8.4.11,1.8.4.12,1.8.4.14,1.8.5.3,1.8.7.1,1.9.3.1,1.10.3.9,1.10.3.10,1.10.3.14,1.11.1.1,1.11.1.6,1.11.1.15,1.11.1.21,1.11.1.22,1.12.7.2,1.13.11.2,1.13.11.5,1.13.11.24,1.13.11.29,1.13.12.16,1.14.12.17,1.14.14.9,1.14.16.1,1.14.99.3,1.15.1.1,1.15.1.2,1.17.1.8,1.17.2.1,1.17.4.1,1.17.7.1,1.17.7.3,1.18.1.1,1.18.1.2,1.97.1.12,2.1.1.13,2.1.1.37,2.1.1.45,2.1.1.63,2.1.1.74,2.1.1.170,2.1.1.171,2.1.1.173,2.1.1.178,2.1.1.187,2.1.1.190,2.1.1.191,2.1.1.192,2.1.1.196,2.1.1.198,2.1.1.199,2.1.1.207,2.1.1.228,2.1.1.265,2.1.1.271,2.1.2.1,2.1.2.2,2.1.2.10,2.1.2.11,2.1.3.2,2.1.3.3,2.1.3.6,2.1.3.9,2.2.1.1,2.2.1.2,2.2.1.6,2.2.1.7,2.3.1.n2,2.3.1.n3,2.3.1.n4,2.3.1.8,2.3.1.9,2.3.1.12,2.3.1.16,2.3.1.29,2.3.1.39,2.3.1.41,2.3.1.47,2.3.1.54,2.3.1.57,2.3.1.61,2.3.1.89,2.3.1.129,2.3.1.179,2.3.1.180,2.3.1.181,2.3.1.204,2.3.1.222,2.3.1.234,2.3.2.16,2.3.3.13,2.3.3.16,2.4.1.1,2.4.1.15,2.4.1.18,2.4.1.20,2.4.1.21,2.4.1.57,2.4.1.109,2.4.1.157,2.4.1.211,2.4.1.250,2.4.1.279,2.4.1.287,2.4.1.319,2.4.1.329,2.4.1.332,2.4.1.333,2.4.2.1,2.4.2.2,2.4.2.3,2.4.2.4,2.4.2.7,2.4.2.8,2.4.2.9,2.4.2.10,2.4.2.14,2.4.2.19,2.4.2.21,2.4.2.22,2.4.2.29,2.4.2.44,2.4.2.46,2.4.99.12,2.4.99.16,2.5.1.3,2.5.1.6,2.5.1.7,2.5.1.9,2.5.1.15,2.5.1.16,2.5.1.17,2.5.1.19,2.5.1.30,2.5.1.31,2.5.1.47,2.5.1.48,2.5.1.54,2.5.1.55,2.5.1.61,2.5.1.68,2.5.1.75,2.5.1.78,2.5.1.88,2.5.1.97,2.5.1.101,2.6.1.1,2.6.1.2,2.6.1.13,2.6.1.16,2.6.1.19,2.6.1.34,2.6.1.39,2.6.1.42,2.6.1.48,2.6.1.51,2.6.1.52,2.6.1.59,2.6.1.62,2.6.1.81,2.6.1.82,2.6.1.83,2.6.1.85,2.6.1.88,2.6.1.98,2.6.1.102,2.6.1.105,2.7.1.6,2.7.1.11,2.7.1.15,2.7.1.23,2.7.1.30,2.7.1.33,2.7.1.35,2.7.1.39,2.7.1.40,2.7.1.50,2.7.1.69,2.7.1.85,2.7.1.90,2.7.1.100,2.7.1.107,2.7.1.148,2.7.1.162,2.7.1.180,2.7.2.1,2.7.2.2,2.7.2.3,2.7.2.4,2.7.2.7,2.7.2.8,2.7.3.9,2.7.4.3,2.7.4.6,2.7.4.8,2.7.4.22,2.7.4.25,2.7.6.1,2.7.6.5,2.7.7.3,2.7.7.4,2.7.7.6,2.7.7.7,2.7.7.8,2.7.7.9,2.7.7.12,2.7.7.13,2.7.7.19,2.7.7.24,2.7.7.27,2.7.7.33,2.7.7.56,2.7.7.63,2.7.7.65,2.7.7.72,2.7.7.75,2.7.7.80,2.7.7.85,2.7.7.87,2.7.8.7,2.7.8.12,2.7.8.13,2.7.8.26,2.7.8.31,2.7.8.35,2.7.8.36,2.7.8.37,2.7.9.2,2.7.10.2,2.7.11.1,2.7.13.3,2.7.14.1,2.8.1.1,2.8.1.7,2.8.1.8,2.8.1.10,2.8.3.8,2.8.4.3,2.8.4.4,2.8.4.5,2.9.1.1,3.1.1.1,3.1.1.29,3.1.1.61,3.1.1.96,3.1.3.3,3.1.3.5,3.1.3.11,3.1.3.16,3.1.3.23,3.1.3.70,3.1.3.89,3.1.3.97,3.1.4.52,3.1.13.1,3.1.21.2,3.1.22.4,3.1.26.3,3.1.26.4,3.1.26.8,3.1.26.12,3.2.1.8,3.2.1.14,3.2.1.17,3.2.1.23,3.2.1.31,3.2.1.52,3.2.1.54,3.2.1.55,3.2.1.67,3.2.1.70,3.2.1.80,3.2.1.86,3.2.1.96,3.2.1.99,3.2.1.131,3.2.1.156,3.2.1.172,3.2.1.180,3.2.2.8,3.2.2.9,3.2.2.20,3.2.2.21,3.2.2.26,3.2.2.27,3.3.1.1,3.4.11.4,3.4.11.9,3.4.11.18,3.4.13.18,3.4.15.5,3.4.17.13,3.4.17.19,3.4.19.3,3.4.19.11,3.4.21.53,3.4.21.88,3.4.21.89,3.4.21.92,3.4.21.102,3.4.21.105,3.4.21.107,3.4.21.116,3.4.24.26,3.4.24.30,3.4.25.2,3.5.1.1,3.5.1.5,3.5.1.9,3.5.1.28,3.5.1.42,3.5.1.44,3.5.1.47,3.5.1.104,3.5.1.105,3.5.2.5,3.5.2.6,3.5.3.1,3.5.4.1,3.5.4.3,3.5.4.5,3.5.4.13,3.5.4.16,3.5.4.25,3.5.4.32,3.5.4.33,3.5.99.6,3.5.99.10,3.6.1.1,3.6.1.3,3.6.1.8,3.6.1.19,3.6.1.23,3.6.1.27,3.6.1.54,3.6.1.55,3.6.3.8,3.6.3.12,3.6.3.14,3.6.3.17,3.6.3.19,3.6.3.20,3.6.3.27,3.6.3.31,3.6.3.32,3.6.3.34,3.6.3.39,3.6.3.40,3.6.3.54,3.6.4.12,3.6.4.13,3.6.5.n1,3.7.1.22,3.9.1.2,4.1.1.11,4.1.1.20,4.1.1.23,4.1.1.31,4.1.1.32,4.1.1.37,4.1.1.41,4.1.1.48,4.1.1.49,4.1.1.50,4.1.1.61,4.1.1.70,4.1.2.4,4.1.2.13,4.1.2.29,4.1.2.40,4.1.3.1,4.1.3.27,4.1.3.46,4.1.99.1,4.1.99.3,4.1.99.12,4.1.99.13,4.1.99.14,4.1.99.17,4.1.99.18,4.1.99.19,4.2.1.1,4.2.1.2,4.2.1.3,4.2.1.6,4.2.1.8,4.2.1.10,4.2.1.11,4.2.1.17,4.2.1.20,4.2.1.24,4.2.1.28,4.2.1.36,4.2.1.40,4.2.1.42,4.2.1.45,4.2.1.46,4.2.1.47,4.2.1.53,4.2.1.59,4.2.1.70,4.2.1.113,4.2.1.115,4.2.1.118,4.2.1.126,4.2.1.135,4.2.1.150,4.2.2.1,4.2.2.5,4.2.3.1,4.2.3.3,4.2.3.4,4.2.3.5,4.2.99.18,4.3.1.1,4.3.1.2,4.3.1.14,4.3.1.15,4.3.1.19,4.3.1.23,4.3.1.24,4.3.2.1,4.3.2.2,4.3.3.6,4.3.3.7,4.4.1.8,4.4.1.15,4.4.1.21,4.6.1.12,4.99.1.1,5.1.1.1,5.1.1.3,5.1.1.7,5.1.1.20,5.1.3.1,5.1.3.2,5.1.3.13,5.1.3.14,5.1.3.20,5.1.3.23,5.1.3.25,5.1.3.29,5.2.1.8,5.3.1.1,5.3.1.6,5.3.1.8,5.3.1.9,5.3.1.13,5.3.1.14,5.3.1.17,5.3.1.23,5.3.2.6,5.4.2.2,5.4.2.10,5.4.2.11,5.4.2.12,5.4.3.2,5.4.3.3,5.4.3.4,5.4.3.5,5.4.3.8,5.4.3.9,5.4.99.2,5.4.99.9,5.4.99.12,5.4.99.18,5.4.99.21,5.4.99.23,5.4.99.25,5.99.1.2,5.99.1.3,6.1.1.1,6.1.1.2,6.1.1.3,6.1.1.5,6.1.1.6,6.1.1.7,6.1.1.10,6.1.1.11,6.1.1.12,6.1.1.13,6.1.1.15,6.1.1.17,6.1.1.18,6.1.1.19,6.1.1.20,6.1.1.23,6.2.1.1,6.2.1.3,6.2.1.26,6.2.1.30,6.2.1.41,6.3.1.1,6.3.1.2,6.3.2.1,6.3.2.4,6.3.2.7,6.3.2.8,6.3.2.9,6.3.2.13,6.3.4.4,6.3.4.5,6.3.4.21,6.3.5.2,6.3.5.3,6.3.5.5,6.3.5.7,6.3.5.11,6.4.1.2,6.4.1.3,6.5.1.2,6.6.1.1,1.1.1.2,1.1.1.30,1.1.1.290,1.1.1.298,1.2.1.72,1.3.1.34,1.3.1.56,1.3.1.104,1.3.5.2,1.3.99.27,1.17.1.2,2.1.1.182,2.1.1.297,2.3.1.31,2.3.1.117,2.3.1.201,2.4.2.45,2.5.1.74,2.6.99.2,2.7.1.45,2.7.7.53,2.8.1.4,2.8.1.6,3.1.11.1,3.2.1.73,3.2.2.4,3.4.11.2,3.5.1.10,3.5.1.25,3.5.1.115,4.1.1.19,4.1.1.85,4.2.1.77,5.1.3.4,5.1.3.22,5.4.99.62,6.2.1.5,6.3.4.18,6.3.5.4,6.4.1.6,6.5.1.1,1.1.1.25,1.1.1.36,1.1.1.49,1.1.1.107,1.1.1.157,1.1.1.313,1.1.1.325,1.1.1.338,1.1.5.6,1.2.1.79,1.3.1.9,1.3.1.44,1.3.1.91,1.3.5.4,1.3.7.7,1.3.8.2,1.4.1.16,1.4.1.23,1.5.1.3,1.5.1.21,1.5.1.49,1.7.2.2,1.11.2.4,1.14.13.165,1.21.98.1,2.1.1.10,2.1.1.77,2.1.1.163,2.1.1.181,2.1.1.185,2.1.1.217,2.2.1.9,2.3.1.101,2.3.1.182,2.3.1.193,2.4.1.11,2.4.2.53,2.5.1.72,2.5.1.86,2.5.1.90,2.5.1.120,2.6.1.30,2.6.1.84,2.6.1.87,2.6.1.92,2.7.1.5,2.7.1.66,2.7.1.83,2.7.1.167,2.7.2.11,2.7.4.1,2.7.6.3,2.7.7.n1,2.7.7.42,2.7.7.70,3.1.2.28,3.1.3.1,3.1.3.7,3.1.3.45,3.1.3.48,3.1.3.74,3.1.5.1,3.1.6.1,3.2.1.1,3.2.1.4,3.2.1.20,3.2.1.41,3.2.1.64,3.2.1.78,3.2.1.177,3.2.1.184,3.4.13.9,3.4.14.12,3.4.19.5,3.4.21.62,3.5.1.18,3.5.1.88,3.5.3.23,3.6.1.65,4.1.2.19,4.1.3.36,4.2.1.7,4.2.1.83,4.2.1.149,4.2.3.130,4.4.1.24,4.4.1.25,5.1.1.5,5.1.1.8,5.3.1.28,5.3.2.8,5.3.3.2,5.4.2.6,5.4.4.3,6.3.1.12,6.3.2.10,6.3.4.19,6.3.4.20,1.3.1.12,1.6.99.3,2.1.1.166,2.3.2.3,2.7.1.175,4.1.3.39,1.1.1.18,1.8.1.7,1.8.1.8,1.8.1.15,1.8.4.13,1.14.99.44,2.4.2.47,2.7.1.4,2.7.7.59,3.2.1.178,4.1.1.81,4.2.1.44,6.2.1.n2,2.8.3.19,1.2.1.16,2.1.1.133,2.3.1.136,3.1.4.3,4.2.1.119,5.4.4.2,6.3.2.3
N2,Normal,1.0,147.0,22.0,1008.0,4880.0,661.0,50.0,309.0,48.0,6.0,3.0,75.0,145.0,269.0,111.0,1002.0,1.0,3448.0,11.0,113.0,2.0,2.0,211.0,50.0,5.0,390.0,59.0,68.0,26.0,10.0,2.0,68.0,1164.0,5.0,23.0,1.0,1.0,73.0,760.0,18.0,13.0,1.0,83.0,68.0,5.0,13699.0,709.0,22.0,1.0,183.0,27.0,21.0,319.0,1.0,174.0,4.0,2.0,1.0,29.0,596.0,164.0,1.0,13.0,9.0,5.0,43.0,424.0,844.0,54.0,26.0,1.0,2.0,41.0,62.0,1021.0,170.0,135.0,259.0,122.0,1.0,28.0,134.0,2.0,49.0,16.0,7.0,52108.0,86.0,3.0,489.0,30.0,2.0,277.0,1656.0,13.0,1134.0,1464.0,18.0,21.0,92.0,18.0,1629.0,2.0,13.0,247.0,101.0,154.0,1168.0,7007.0,123.0,1394.0,247.0,164.0,1.0,3.0,79.0,59.0,1.0,3.0,35.0,3.0,40.0,65.0,18.0,81.0,13.0,1820.0,5.0,1134.0,16.0,8.0,1.0,4.0,15.0,1.0,165.0,14.0,15.0,5.0,21.0,21.0,1.0,1.0,2.0,162.0,6.0,60.0,820.0,37.0,529.0,1.0,48.0,2785.0,7.0,66.0,61.0,483.0,557.0,33.0,4.0,1345.0,115.0,113.0,89.0,214.0,156.0,2.0,141.0,811.0,20.0,6.0,166.0,233.0,48.0,7.0,1192.0,4.0,2.0,173.0,1.0,7921.0,213.0,165.0,2.0,40.0,6478.0,44.0,203.0,229.0,336.0,149.0,312.0,140.0,2.0,86.0,29.0,66.0,73.0,2.0,111.0,162.0,8.0,41.0,1.0,33.0,972.0,466.0,7.0,2.0,36.0,45.0,2735.0,149.0,196.0,8.0,338.0,39.0,1142.0,6.0,528.0,43.0,2.0,116.0,6984.0,3034.0,348.0,75.0,11.0,1.0,42.0,2.0,506.0,10080.0,772.0,661.0,6496.0,1075.0,104.0,75.0,1962.0,16.0,4.0,292.0,79.0,298.0,139.0,148.0,7.0,2.0,10.0,88.0,17.0,3.0,15.0,248.0,6.0,79.0,32.0,24.0,14.0,1.0,2.0,230.0,43.0,10.0,2900.0,4.0,24.0,1216.0,122.0,92.0,6.0,160.0,186.0,1550.0,7.0,563.0,3.0,1.0,69.0,17.0,3.0,303.0,72.0,1120.0,58007.0,1597.0,146.0,2544.0,284.0,44.0,98.0,2283.0,2.0,57.0,90.0,61.0,7.0,5123.0,1285.0,4648.0,75.0,16.0,11.0,3.0,1123.0,157.0,26.0,963.0,69.0,26.0,2.0,33.0,162.0,481.0,871.0,2.0,4618.0,504.0,560.0,187.0,5.0,39.0,6.0,34.0,4.0,426.0,6343.0,1386.0,24.0,103.0,12.0,271.0,2.0,45.0,10.0,59.0,110.0,6.0,12.0,219.0,2.0,1.0,46.0,406.0,2.0,22.0,2.0,59.0,1.0,1073.0,179.0,3.0,1.0,1981.0,328.0,43.0,27.0,203.0,4.0,7.0,841.0,36.0,8.0,178.0,82.0,4.0,10.0,42.0,2362.0,2.0,8.0,2.0,5.0,8.0,24.0,62.0,5.0,6.0,46.0,1.0,4952.0,2.0,1667.0,19.0,350.0,35.0,10.0,35.0,36.0,17.0,12.0,1331.0,8.0,7.0,583.0,210.0,1.0,624.0,17.0,1.0,92.0,6.0,386.0,70.0,5.0,9.0,2.0,20.0,170.0,3.0,38.0,171.0,508.0,129.0,2600.0,147.0,6.0,2305.0,8.0,1026.0,54.0,47.0,2.0,103.0,979.0,205.0,19.0,20.0,615.0,58.0,1.0,35.0,2107.0,75.0,2496.0,500.0,167.0,65.0,447.0,518.0,640.0,24.0,1825.0,13.0,4922.0,6898.0,2418.0,727.0,5.0,51.0,177.0,8.0,254.0,2.0,478.0,11.0,4.0,1.0,679.0,11.0,87.0,3.0,87.0,139212.0,142.0,98.0,21.0,4.0,67.0,18.0,9.0,934.0,1.0,258.0,20.0,93.0,2.0,27.0,182.0,37.0,60.0,19.0,127.0,2843.0,7.0,450.0,3431.0,55.0,28.0,20.0,3.0,14.0,125.0,490.0,168.0,6.0,319.0,86.0,3.0,665.0,16.0,381.0,234.0,28.0,17.0,43.0,673.0,7.0,18.0,54.0,311.0,134.0,90.0,1304.0,9.0,1.0,36.0,97.0,27.0,681.0,37.0,66.0,16.0,1.0,190.0,15.0,7.0,1188.0,45.0,423.0,870.0,190.0,59.0,526.0,2.0,105.0,2.0,1.0,140.0,476.0,676.0,62.0,1003.0,2557.0,3.0,21.0,15.0,4.0,277.0,138.0,27.0,2277.0,94.0,12.0,11.0,355.0,3907.0,13.0,452.0,9.0,3.0,43.0,50.0,262.0,51.0,21677.0,5211.0,1292.0,108.0,415.0,132.0,274.0,362.0,177.0,702.0,286.0,298.0,430.0,634.0,599.0,12.0,696.0,631.0,47.0,4.0,216.0,1235.0,5.0,612.0,857.0,244.0,452.0,83.0,61.0,78.0,632.0,30176.0,54.0,4.0,158.0,244.0,235.0,857.0,3.0,232.0,88.0,192.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N3,Normal,0,0,79.0,0,151.0,0,3.0,0,0,1.0,0,0,0,0,7.0,43.0,0,0,22.0,0,0,0,0,0,0,0,0,3716.0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,8.0,2.0,41.0,0,18.0,0,0,0,0,592.0,0,0,0,0,0,112.0,6.0,2.0,1.0,0,14.0,0,0,0,0,4.0,0,946.0,4.0,0,5.0,0,0,0,68031.0,3.0,9449.0,80.0,0,0,75.0,0,41207.0,0,0,57.0,26.0,5.0,48.0,5.0,3527.0,2.0,0,718.0,0,0,0,0,0,0,0,0,0,10.0,0,11.0,0,0,0,0,0,0,4788.0,1.0,0,69850.0,0,30.0,0,0,0,0,0,0,0,0,0,0,33587.0,0,2.0,558.0,0,453.0,24.0,0,17.0,0,419.0,0,1.0,2.0,1.0,0,133.0,5.0,0,0,0,68.0,0,1.0,3.0,13.0,13.0,0,440.0,0,0,2.0,0,151.0,21.0,0,0,5155.0,5645.0,0,0,0,1.0,0,0,0,1145.0,0,1128.0,0,0,1.0,0,0,0,0,0,0,29.0,0,2.0,2.0,0,2.0,25.0,1.0,590.0,14.0,5.0,0,1501.0,0,0,0,10.0,0,0,10552.0,0,1.0,0,0,3.0,0,0,76.0,5.0,4.0,0,3.0,137.0,0,5.0,0,0,12.0,0,16.0,0,5.0,0,3.0,6.0,3.0,1.0,0,0,0,6.0,1.0,0,107.0,23.0,0,19.0,7.0,0,0,8.0,5.0,5.0,10.0,0,0,2.0,2.0,0,525.0,0,0,0,0,2936.0,0,44.0,0,7.0,0,148.0,0,1.0,0,801.0,6.0,0,722.0,0,3795.0,0,0,0,126944.0,1753.0,6.0,5.0,0,3.0,3.0,44.0,878.0,15.0,32128.0,0,18.0,0,12.0,3359.0,31.0,0,0,0,2.0,0,0,0,0,36.0,85007.0,0,37.0,2860.0,175.0,0,0,0,4627.0,0,0,0,0,0,0,803.0,196.0,0,0,3.0,2.0,8.0,0,0,0,0,34.0,0,0,0,6.0,0,0,0,0,0,0,0,0,56.0,0,0,0,0,0,1700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,258588.0,0,1008.0,0,0,0,0,0,0,0,178.0,0,0,0,0,1863.0,13.0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,42.0,4.0,0,0,2599.0,50.0,10977.0,2.0,0,0,0,9.0,2.0,5.0,2.0,43.0,1.0,1042.0,2632.0,137.0,8.0,45123.0,3.0,2148.0,1250.0,1632.0,0,0,0,20.0,2.0,0,2.0,0,0,3505.0,0,0,0,1.0,0,105391.0,60.0,0,44.0,0,0,0,1643.0,0,0,0,0,12.0,0,0,0,0,3.0,0,0,1548.0,364.0,0,0,2.0,0,0,0,0,0,480.0,0,0,0,0,0,0,0,0,4.0,0,0,0,405.0,0,0,0,0,44.0,0,0,1.0,0,7.0,0,28940.0,0,15.0,0,0,0,11.0,0,0,1.0,1507.0,2.0,10.0,0,0,45.0,0,0,116.0,0,0,529.0,0,0,0,1935.0,0,0,0,0,0,2.0,35.0,1.0,25.0,0,0,0,0,0,0,2106.0,0,0,23.0,11.0,0,19.0,13.0,34.0,3.0,201.0,5787.0,38.0,18.0,0,1.0,303.0,0,2.0,1.0,0,1.0,0,0,1.0,0,10.0,0,0,0,0,0,90.0,0,0,0,0,0,52.0,1191.0,8804.0,160.0,398.0,0,0,0,0,1.0,0,7.0,2133.0,6.0,1.0,2.0,2.0,2.0,78.0,1.0,1.0,2.0,1.0,1.0,1.0,1995.0,586.0,3.0,225.0,37.0,2.0,1.0,20.0,2.0,1366.0,1.0,19.0,1.0,2.0,33386.0,129.0,233.0,1.0,46.0,2.0,584.0,9.0,1.0,25.0,9.0,90.0,2.0,540.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
