1.2.1.12|1.2.1.59	2992
6.3.2.13|6.3.2.7	14
3.6.3.19|3.6.3.20	268
2.7.2.1|2.7.2.15	485
2.7.2.3|5.3.1.1	36
2.6.1.19|2.6.1.48	7
2.3.1.8|2.7.2.1	41
2.4.1.11|2.4.1.250	77
5.4.4.3|6.3.1.2	54
3.6.3.20|3.6.3.31	45
3.6.3.19|3.6.3.31	26
1.2.1.12|1.2.1.72	51
3.6.3.27|3.6.3.31	14
2.3.1.179|2.3.1.41	6
1.2.1.20|1.2.1.79	7
3.6.3.32|3.6.3.39	4
3.6.3.31|3.6.3.39	5
3.6.3.31|3.6.3.32	4
3.6.3.27|3.6.3.39	4
3.6.3.27|3.6.3.32	5
3.6.3.19|3.6.3.39	2
3.6.3.19|3.6.3.32	2
3.6.3.19|3.6.3.27	2
1.10.3.10|1.10.3.14	2
2.7.3.9|2.7.9.2	2
2.6.1.85|4.1.3.27	1
1.2.1.79|1.2.1.92	2
1.2.1.69|1.2.1.92	2
1.2.1.69|1.2.1.79	2
1.2.1.5|1.2.1.92	2
1.2.1.5|1.2.1.79	2
1.2.1.5|1.2.1.69	2
1.2.1.20|1.2.1.92	2
1.2.1.20|1.2.1.69	2
1.2.1.20|1.2.1.5	2
3.2.2.27|3.6.3.27	2
6.1.1.12|6.1.1.23	3
1.2.1.12|5.3.1.1	1
1.2.1.19|1.2.1.8	2
2.5.1.86|2.5.1.88	1
