3.6.3.19|3.6.3.20	140800
3.6.3.19|3.6.3.31	28304
3.6.3.20|3.6.3.31	12633
6.1.1.23|6.1.1.6	2596
3.6.3.54|3.6.3.8	1557
2.7.8.31|2.7.8.36	231
1.10.3.10|1.9.3.1	207
6.1.1.12|6.1.1.23	68
2.5.1.30|2.5.1.90	4
2.5.1.86|2.5.1.88	177
6.2.1.1|6.2.1.3	40
5.4.4.3|6.3.1.2	133
3.6.3.31|3.6.3.39	47
3.6.3.27|3.6.3.31	77
3.6.3.31|3.6.3.32	53
3.6.3.27|3.6.3.32	48
3.6.3.19|3.6.3.39	14
2.8.4.3|2.8.4.4	1
2.7.1.11|2.7.1.90	56
2.5.1.31|2.5.1.88	29
2.5.1.31|2.5.1.86	29
2.4.2.2|2.4.2.4	12
3.6.3.20|5.4.2.6	3
3.6.3.19|5.4.2.6	4
1.1.1.274|1.1.1.283	4
2.3.1.16|2.3.1.9	12
1.3.1.31|1.6.99.1	2
1.2.1.88|1.2.1.9	1
3.6.3.19|3.6.3.27	1
4.2.1.150|4.2.1.17	2
1.2.1.12|1.2.1.59	6
2.1.1.228|6.1.1.6	2
4.4.1.15|4.4.1.25	4
1.5.1.38|1.5.1.39	1
1.11.1.1|3.6.3.20	2
1.3.5.1|1.3.5.4	1
1.2.1.59|1.2.1.72	1
1.2.1.12|1.2.1.72	1
1.3.8.10|1.3.8.11	1
1.11.1.1|3.6.3.19	1
4.2.1.2|4.3.1.1	1
3.6.3.27|3.6.3.39	2
3.6.3.32|3.6.3.39	2
