,N2,N3,N4,E1,E3,E4,E5
5.1.3.23,18.252,10.815,25.89,0,0,0,0
5.1.1.20,73.531,0.932,42.841,0,0,0,0
2.4.2.29,198.518,139.948,95.545,39.681,0,0,59.047
2.4.2.19,1.391,1.305,67.498,0,0,0,0
2.4.2.3,1.217,0.186,8.322,0,0,0,0
2.4.2.14,34.071,55.009,171.674,0,7.147,0,1.351
5.3.1.9,174.355,180.412,611.337,2.229,0.433,18.062,0.676
5.1.1.7,7.822,0.186,5.702,0,0,0,0
5.1.1.3,206.514,140.507,172.444,11.592,21.44,0,0.405
2.5.1.7,527.41,983.829,1953.133,6.688,0.217,0,4.594
