"OTUs"	"N2"	"N3"	"N4"	"E1"	"E3"	"E4"	"E5"
195	0	0	0	0	0	0	575
196	0	0	15	0	2765	0	0
197	0	0	21	0	0	0	191
198	75	0	69	0	0	0	0
199	61	0	1612	29	0	166	70
200	1562	182	7631	625	7413	225	2448
201	0	0	22	0	0	0	0
202	0	0	0	0	0	0	17
203	15	0	0	0	0	0	0
204	25	0	128	0	0	0	0
205	41	0	0	91	0	0	0
206	17	0	24	13	0	0	479
207	37	10625	24	0	0	0	0
208	22	11	109	39	80	0	90
209	101	42	485	0	0	0	0
210	0	0	33	0	0	0	0
211	6130	0	25	0	0	0	0
212	649	0	1983	0	0	0	38
213	0	109	0	0	0	0	0
214	0	0	171	0	0	0	0
215	393493	0	165	341	0	0	22
216	13	0	0	0	0	0	0
217	2152	0	0	0	0	0	0
218	17	0	0	0	30	0	0
219	0	0	0	0	0	0	202
220	236	0	376	0	0	0	0
221	32	0	19	0	0	0	0
222	12	0	0	0	0	0	0
223	16	31	134	0	0	29	0
224	1473	0	160	1737	0	0	49
225	0	0	169	0	0	0	0
226	287	0	233	20	444	0	54
227	0	0	39	0	0	0	0
228	341	0	1535	0	22	0	617
229	197	0	339	0	15	0	13
230	108	0	184	0	0	0	497
231	46	0	37	0	0	0	0
232	0	0	96	0	0	0	2058
233	0	0	0	0	0	0	24
234	0	0	187	0	0	0	0
235	482	0	0	0	0	0	0
236	24	0	1064	0	37	0	0
237	0	0	11	0	0	0	0
238	35	37	60	0	0	0	0
239	0	10	42	0	0	0	0
240	92	18	536	0	0	0	33
241	44	0	193	0	0	0	19
242	0	0	0	174	0	0	0
243	0	0	839	0	0	0	0
244	0	0	0	0	77	0	0
245	770	0	1888	1716	638	0	22
246	0	0	0	0	11	0	0
247	25	0	34	0	0	0	0
248	233	0	788	195	99	18	765
249	1525	31	2579	54	0	0	55
250	17	53	183	0	132	0	0
251	34	0	113	0	0	0	0
252	20	0	45	0	787	0	0
253	0	0	95	0	0	0	0
254	17	10	537	72	24	0	0
255	0	0	10	0	0	0	0
256	0	0	33	0	0	0	0
257	0	0	30	193	197	0	0
258	0	0	174	0	0	0	0
259	223	1781	831	145	2614	130	1067
260	10334	5077	12398	245	11742	92	8001
261	37	0	117	0	0	0	0
262	16	0	364	0	0	0	11
263	643	0	213	0	0	0	73
264	287	0	538	0	0	0	104
265	1698	0	26	0	0	0	0
266	271	581	1827	0	126	0	87
267	4470	1928	10426	1065	29011	543	5115
268	168	0	81	0	10	0	0
269	4060	0	0	350	0	0	0
270	0	0	2702	0	0	0	0
271	0	0	21	0	0	0	0
272	13	0	0	0	0	0	0
273	158	49	314	0	270	0	24
274	126	0	140	0	0	0	11
275	0	0	0	0	0	0	2839
276	0	0	11	0	0	0	0
277	55	0	132	0	12	0	0
278	61	0	0	0	0	0	0
279	10	0	440	0	0	0	0
280	344	0	1414	0	72	0	0
281	0	0	923	0	0	0	0
282	0	0	164	0	0	0	12
283	13	0	0	0	0	0	0
284	124	0	161	370	120	0	48
