"OTUs"	"N2"	"N3"	"N4"	"E1"	"E3"	"E4"	"E5"
840	48	0	12	0	0	0	0
841	27	0	0	0	6966	12	0
842	0	908	68	0	0	0	16
843	178	0	42	0	0	0	5497
844	24	0	150	0	0	0	0
845	0	0	141	0	0	0	0
846	0	0	347	0	0	0	0
847	0	0	0	11	0	0	0
848	23	0	0	0	0	0	0
849	691	0	2186	87	0	0	50
850	0	0	41	0	0	0	0
851	0	0	71	0	0	0	0
852	0	0	309	0	0	0	0
853	14	0	1448	0	13	0	0
854	155	0	215	309	11340	0	474
855	0	0	0	50	0	0	0
856	7570	14	0	565	0	0	57
857	0	0	11	0	0	0	0
858	194	0	118	0	1042	0	0
859	55	0	35	13	146	30	798
860	0	0	14	0	0	0	0
861	0	0	18	0	0	0	0
862	615	0	687	162	4238	148	42
863	0	0	229	0	0	0	0
864	0	143	81	0	0	0	0
865	219	0	0	0	0	0	0
866	0	19	140	0	941	0	0
867	233	57	2587	0	8773	12	0
868	175	0	0	0	0	0	40
869	19	0	59	0	0	0	122
870	32	0	28	17	0	0	0
871	4029	0	0	0	0	0	0
872	0	0	0	36	0	0	0
873	84	0	0	0	0	0	60
874	14	0	212	0	0	0	471
875	0	9564	37	253	0	0	0
876	200	106	249	0	745	0	51
877	19	0	189	0	0	0	0
878	541	27	651	0	63	0	47
879	0	0	0	574	0	0	14
880	0	0	227	0	0	0	0
881	53	0	19	0	0	229	0
882	525	0	0	0	0	0	0
883	392	0	911	0	62	0	384
884	22	56	516	0	0	0	0
885	0	0	38	0	0	0	18
886	0	0	40	0	0	0	0
887	97	0	0	0	0	0	0
888	0	0	53	0	0	0	0
889	0	0	0	0	14363	0	0
890	0	0	0	0	77	0	0
891	10	0	13	0	20	0	0
892	14	0	268	0	0	0	0
893	12	0	55	0	0	46	0
894	0	0	30	0	12	0	0
895	0	4001	31	40	0	0	0
896	0	0	22	0	0	0	0
897	0	18	0	0	0	0	0
898	971	0	1751	0	0	0	0
899	0	0	0	0	0	0	16
900	96	0	549	0	110	0	0
901	802	0	114	0	0	0	0
902	16	0	0	0	0	0	0
903	18	0	18	0	0	914	0
904	19	0	267	0	19	0	0
905	643	354	3073	32	164	0	2414
906	0	0	130	0	0	0	0
907	161	0	0	0	0	0	0
908	0	0	22	0	0	0	0
909	0	0	26	0	0	0	0
910	824	24	104	0	50	0	0
911	298	3808	1656	104	0	0	123
912	0	56	0	0	0	0	0
913	643	0	106	664	0	0	249
914	103	0	188	0	0	0	26
915	31	55	1150	20	4302	0	0
916	0	0	0	0	302	0	0
917	0	0	97	0	0	0	52
918	0	0	12	0	0	0	0
919	0	0	228	0	0	0	0
920	46	0	49	0	0	11	0
921	28	0	518	0	0	0	86
922	898	0	0	0	0	0	0
923	178	0	0	0	0	0	0
924	55	251	129	62	57	47	274
925	247	390	464	0	0	0	38
926	998	0	372	880105	82	0	612383
927	0	11	0	0	0	0	0
928	1078	14	54	0	0	0	140
929	0	0	14	0	0	0	0
930	219	0	218	0	0	0	0
931	0	0	54	0	0	0	0
932	32	0	39	0	115	0	13
933	125	0	107	0	0	0	0
934	12	0	36	39	0	0	0
935	78	0	140	0	0	0	0
936	0	0	122	0	0	0	5214
937	19	0	547	0	0	0	0
938	66	223	108	0	0	0	0
939	0	0	0	0	0	0	4225
940	43	0	84	0	40	0	0
941	66	0	434	0	20	0	58
942	306	0	0	0	0	0	0
943	148	0	0	0	0	0	0
944	79	0	123	15	355	10	0
945	21	0	56	0	12	73	0
946	87	0	1138	0	0	0	0
947	35	0	11	0	0	0	0
948	209	0	607	0	0	0	52
949	2904	827	5498	1540	5195	676	4006
950	869	0	4131	0	136	0	0
951	0	193	6663	0	0	0	0
952	0	12	152	51	0	0	0
953	18	0	309	0	0	0	0
954	0	0	93	0	0	0	0
955	34	0	461	0	0	0	0
956	0	0	77	0	0	0	0
957	156	0	258	0	0	0	26
958	0	27	12	0	0	0	528
959	0	0	0	80	0	0	0
960	264	2376	451	0	0	0	0
961	97	100	1146	264	11	70	26
962	0	0	0	15	0	0	17
963	29	0	12	0	0	0	0
964	59	0	83	0	0	0	0
965	191	0	102	0	0	0	0
966	0	16	0	0	0	0	0
967	37	56	148	0	0	0	22
968	44	0	340	159	2365	0	0
969	0	0	0	0	0	0	43
970	2791	0	0	0	0	0	0
971	176	14	87	0	0	0	15
972	314	0	159	17	0	33	28
973	406	0	0	0	0	0	0
974	0	0	64	0	15	0	0
975	25	0	0	0	0	0	0
976	0	0	52	0	0	0	56
977	0	709	59	0	0	0	11
978	18	176	10	0	0	0	0
979	256	24	1027	0	18	0	201
980	0	0	894	0	0	0	0
981	48	0	31	0	0	0	0
982	0	1035	21	0	0	0	0
983	73	0	140	0	0	0	0
984	43	0	45	0	0	0	0
985	10	0	0	0	0	0	10440
986	17	0	0	0	0	0	0
987	397	0	247	0	0	0	0
988	0	0	0	0	34	0	0
989	22	19	382	0	0	0	0
990	0	0	990	0	0	0	0
991	58	0	0	0	0	0	0
992	237	0	148	0	0	0	0
993	0	0	48	0	0	0	43
994	514	0	526	0	12	0	932
995	65	0	168	0	0	0	0
996	17	0	193	0	0	0	0
997	0	0	11	0	0	0	0
998	73	0	29	0	0	0	0
999	17	0	19	0	0	0	0
1000	1399	1531	8674	40	6014	27	1819
1001	0	0	30	0	0	0	0
1002	0	0	76	0	0	0	0
1003	74	0	0	0	0	0	0
1004	26	0	0	0	0	0	0
1005	40	0	1771	0	0	0	21
1006	0	0	761	0	0	0	0
1007	0	0	0	258	0	0	0
1008	0	0	73	0	0	0	0
1009	117	0	274	0	0	0	0
1010	0	998	0	0	0	0	0
1011	44	0	217	0	0	0	0
1012	0	0	0	0	0	116	0
1013	0	0	86	0	0	0	0
1014	10	0	492	0	50	0	1138
1015	33	200	78	0	0	0	215
1016	9636	4332	41412	124	27951	125	7933
1017	0	0	27	0	0	0	0
1018	0	0	0	32	0	0	0
1019	608	0	2726	257	1171	109	0
1020	15	0	0	0	0	0	0
1021	12	0	0	0	0	0	0
1022	339	0	0	0	0	0	0
1023	0	0	13	16	0	0	0
1024	16	0	0	0	0	0	0
1025	0	0	35	0	0	0	111
1026	33	0	0	0	0	0	0
1027	0	0	0	0	0	0	32
1028	12	0	110	0	0	0	183
1029	0	0	88	0	0	0	0
1030	33	0	85	0	0	0	0
1031	207	0	865	10	14	16	24
1032	0	0	66	0	0	0	0
1033	40	21	223	0	0	0	0
1034	0	0	37	0	0	0	0
1035	73	0	126	0	0	0	0
1036	12	0	25	0	0	0	53
1037	308	0	179	0	0	0	0
1038	598	0	1389	162	1303	0	310
1039	0	0	105	0	0	224	0
1040	0	0	25	0	0	0	0
1041	61	28	80	0	165	19	0
1042	0	0	250	0	0	0	0
1043	568	0	99	0	0	0	11
1044	15	0	0	0	0	0	0
1045	486	0	0	0	0	17	0
1046	1293	0	0	0	0	0	0
1047	0	0	113	0	0	0	19
1048	0	0	44	0	0	0	0
1049	0	88	0	0	0	0	739
1050	0	94	173	0	0	0	0
1051	0	0	500	0	0	0	0
1052	40	12	110	21	22	0	0
1053	200	0	31	0	0	0	25
1054	74	0	1704	16	0	0	0
1055	14	0	30	0	0	0	0
1056	0	0	328	0	0	0	0
1057	0	0	24	0	0	0	0
1058	3587	1039	2354	0	50	191	202
1059	0	0	112	0	38	0	0
1060	0	0	0	0	0	1534	0
1061	0	0	21	0	0	0	0
1062	237	0	0	0	0	0	0
1063	134	18	1178	0	0	0	25
1064	10	0	180	0	0	0	0
1065	0	26	0	13	186	0	0
1066	16	0	17	0	0	0	0
1067	12	0	41	0	1037	0	0
1068	264	0	0	0	0	0	0
1069	0	0	78	0	0	0	0
1070	70	31	0	0	182	0	0
1071	0	0	14	0	0	0	0
1072	0	0	21	0	0	0	0
1073	0	0	0	0	0	30	0
1074	0	0	0	0	121	0	0
1075	21	0	41	0	0	0	0
1076	159	21	278	89	0	0	0
1077	0	0	95	0	0	0	0
1078	0	391	0	18	0	0	0
1079	0	0	147	0	704	0	0
1080	0	0	11	0	15	0	0
1081	18	0	410	0	0	0	33
1082	430	17	1272	0	0	0	0
1083	824552	3868	3705	2223	18495	4153	190
1084	536	0	493	16	0	0	72
1085	13	0	40	0	0	0	0
1086	363	0	573	30	0	0	0
1087	0	0	34	0	95	0	0
1088	136	230	2996	87	0	0	0
1089	15	0	1105	0	0	0	0
1090	0	0	19	0	0	0	0
1091	58	114	188	140	419	133	193
1092	24	0	0	0	0	0	0
1093	26	0	31	0	0	0	0
1094	74	0	162	746	0	0	2351
1095	0	0	66	0	0	0	0
1096	44	0	194	0	0	0	16
1097	264	0	639	0	41	10	404
1098	387	0	250	0	410	0	0
1099	16	0	0	0	0	0	0
1100	34	0	54	0	0	0	0
1101	26	0	0	0	0	0	0
1102	230	27	509	16	223	16	82
1103	0	0	0	0	170	0	0
1104	0	0	0	0	244	0	0
1105	43	23	343	0	0	0	0
1106	0	0	46	0	42	0	0
1107	0	37	0	0	0	0	38
1108	0	0	1466	0	1144	0	0
1109	0	0	202	0	0	0	0
1110	36	0	84	0	0	0	117
1111	149	0	643	84	2006	27	1212
1112	1228	0	0	0	0	0	0
1113	0	327	55498	56	0	0	0
1114	13	0	87	0	0	0	1478
1115	53	0	0	0	0	0	36
1116	0	0	96	0	0	0	0
1117	0	49	0	0	0	0	0
1118	18	0	185	0	0	0	0
1119	23	0	133	0	0	0	11
1120	0	525	45	0	0	0	0
1121	0	0	209	0	18	0	0
1122	486	0	0	0	0	0	0
1123	0	0	16	0	0	0	0
1124	0	0	0	0	28	0	379
1125	289	0	68	0	0	0	0
1126	0	0	332	366	0	0	0
1127	0	0	90	0	0	0	0
1128	47	0	0	0	0	0	0
1129	125	0	423	0	0	0	23
1130	766	1791	2810	0	0	20	27
1131	0	0	586	0	0	0	0
1132	485	0	1806	0	88	0	0
1133	0	0	0	0	0	0	629
1134	99	0	76	0	97	199	0
1135	111	0	78	0	519	0	0
1136	78	0	181	0	0	0	0
1137	124	10	371	185	1552	0	0
1138	0	0	0	0	72	0	0
1139	0	0	197	0	0	0	0
1140	0	0	125	0	0	75	15
1141	0	0	53	0	0	0	0
1142	0	0	15	0	0	0	0
1143	8668	0	0	20	0	0	12
1144	22	0	17	0	0	0	22
1145	2225	0	0	0	0	0	0
1146	12	0	0	679	0	0	0
1147	31	0	22	0	0	0	0
1148	0	0	23	0	38	0	0
1149	672	0	393	1409	328	0	55
1150	0	0	31	0	0	0	0
1151	0	0	35	0	6471	0	0
1152	0	0	180	0	0	0	0
1153	560	656	2995	94	0	0	0
1154	0	0	0	0	0	0	46
1155	187	0	419	0	0	0	0
1156	74	0	393	0	751	0	126
1157	0	0	52	0	0	0	0
1158	41	0	47	0	0	0	0
1159	0	422	0	0	0	0	0
1160	1043	0	43	0	717	0	466
1161	191	0	429	0	12	0	275
1162	30	148	44	0	0	0	0
1163	0	10	11	0	0	0	1237
1164	33	0	42	0	16	0	0
1165	11	0	0	0	0	0	0
1166	19	216	25	0	0	0	0
1167	32	0	64	0	0	0	91
1168	120	17	220	0	0	25	147
1169	10	0	0	0	0	0	0
1170	98	0	129	0	0	32	0
1171	101	0	0	0	0	0	0
1172	26	0	559	0	0	0	0
1173	0	0	0	38	0	0	0
1174	21	0	35	0	32	0	22
1175	220	0	1157	0	0	0	84
1176	0	0	12	0	0	0	0
1177	153	0	28	0	0	0	0
1178	0	0	0	0	0	0	678
1179	51	0	352	343	0	0	75
1180	96	0	40	0	0	0	0
1181	23	122	184	104	39	0	100
1182	28	0	111	0	0	0	0
1183	140	1198	386	0	585	0	0
1184	0	0	0	0	85	0	0
1185	31	0	24	0	0	0	0
1186	0	0	117	0	0	0	0
1187	0	23	310	0	0	0	197
1188	198	0	140	0	0	0	0
1189	0	52	0	0	0	0	0
1190	0	10	0	0	0	0	0
1191	22	0	40	0	0	0	0
1192	579	0	451	0	0	0	68
1193	0	0	18	0	0	0	0
1194	256	0	90	0	0	0	0
1195	38	0	204	0	0	0	0
1196	62	0	135	0	0	16	125
1197	0	0	13	0	0	24	0
1198	540	26	34	0	0	0	0
1199	768	16	11	0	16	0	19
1200	0	0	110	47	0	0	23
1201	78	15	247	0	0	0	11126
1202	283	0	0	2265	0	0	0
1203	33	0	109	0	0	0	3346
1204	61	0	105	0	0	0	14180
1205	0	0	154	0	0	0	0
1206	23	0	39	0	0	0	0
1207	23	0	304	903	0	0	439
1208	93	0	160	0	672	0	133
1209	0	0	0	0	0	0	159
1210	88	0	0	0	0	0	0
1211	0	0	0	1334	0	0	0
1212	0	0	437	0	0	0	0
1213	0	0	250	0	0	30	135
1214	0	0	65	0	0	0	0
1215	772	283	752	0	0	0	0
1216	721	0	0	0	0	0	0
1217	176	0	80	0	0	0	0
1218	0	0	0	0	0	0	931
1219	0	0	34	0	0	0	987
1220	823	1304	1644	248	1101	1461	397
1221	233	0	19	0	0	0	120
1222	0	0	22	0	0	0	0
1223	163	26	558	542	0	0	574
1224	0	0	0	25	0	0	12
1225	30	0	216	0	0	0	0
1226	49	0	226	0	0	0	212
1227	0	0	0	0	30	0	74
1228	155	0	390	0	0	0	208
1229	46	0	362	0	0	18	28
1230	0	0	47	0	0	0	0
1231	22	0	44	90	0	0	248
1232	17	0	125	99	15	0	0
1233	0	0	13	0	0	0	65
1234	0	0	0	0	0	0	27
1235	0	0	154	0	0	0	0
1236	0	0	0	0	1849	0	10
1237	682	0	71	0	756	0	20
1238	0	0	86	0	0	0	0
1239	0	0	382	0	0	0	0
1240	181	0	40	0	0	0	0
1241	0	485	0	0	0	0	0
1242	2589	0	1982	9143	984	0	333
1243	0	0	27	0	0	0	0
1244	0	14	16	0	0	0	0
1245	167	0	31	2424	0	0	20
1246	0	0	20	0	0	0	0
1247	386	10	731	0	134	0	17533
1248	0	0	13	0	0	0	0
1249	17	0	499	0	0	0	0
1250	12	425	24	0	0	0	20
1251	116	0	0	0	0	0	0
1252	0	0	0	0	429	0	0
1253	19	0	0	0	0	0	0
1254	0	0	0	0	1880	0	0
1255	0	58	52	0	0	0	0
1256	0	0	0	0	19	15	0
1257	54	0	80	0	3804	0	0
1258	162	41948	505	0	0	0	26
1259	0	0	0	0	0	0	13
1260	0	0	63	0	72	0	0
1261	3884	0	0	0	0	0	0
1262	118	13	53	0	0	0	0
1263	88	0	137	0	0	0	0
1264	146	0	231	0	0	0	46
1265	0	0	256	0	49	0	0
1266	0	0	0	0	70	0	38
1267	34	0	0	0	0	0	0
1268	273	0	92	0	0	0	0
1269	0	0	0	0	0	0	19
1270	0	0	38	0	0	22	0
1271	0	0	22	0	0	0	0
1272	0	0	117	0	0	0	0
1273	16	0	880	0	0	0	0
1274	0	0	0	0	14	0	0
1275	215	0	113	0	116	70	15404
1276	12	0	222	0	0	159	0
1277	66	0	0	0	0	0	0
1278	0	0	0	0	1095	0	0
1279	0	0	17	0	0	0	0
1280	12176	1486	27992	15816	39646	2198	33280
1281	0	358	0	0	0	0	0
1282	0	0	31	0	0	0	0
1283	0	0	20	0	0	0	0
1284	72	0	194	0	0	0	20
1285	0	0	0	0	0	0	18
1286	0	0	43	0	0	0	0
1287	83	0	91	0	0	0	0
1288	0	0	302	21	34962	0	0
1289	664	0	615	0	0	0	0
1290	0	0	70	0	0	0	0
1291	0	0	87	0	0	0	0
1292	24	0	0	0	0	0	0
1293	75	0	271	432	0	0	0
1294	0	0	17	0	0	0	17
1295	114	0	124	125	0	0	104
1296	180	0	0	0	0	0	0
1297	0	68	155	0	0	0	0
1298	10	0	410	0	3587	0	0
1299	370	0	90	0	129	0	923
1300	0	0	15	0	0	0	0
1301	31	0	0	0	0	0	0
1302	0	0	12	0	0	0	0
1303	31	0	0	0	0	0	0
1304	0	0	0	11	0	0	0
1305	14	0	0	0	0	0	0
1306	0	0	42	0	0	0	0
1307	100	0	339	0	0	65	0
1308	23	0	158	0	0	0	0
1309	26	0	0	0	17	0	0
1310	0	0	141	0	0	0	0
1311	153	0	845	320	0	0	0
1312	291	0	1971	0	5711	0	10543
1313	0	0	399	0	0	0	0
1314	293	23	137	0	13	0	0
1315	0	75	0	0	0	0	0
1316	18	0	0	0	0	0	0
1317	1203	0	10	0	0	0	0
1318	37	0	314	0	0	0	0
1319	0	0	0	60	0	0	0
1320	167	0	0	0	0	0	0
1321	0	0	143	0	0	0	0
1322	0	0	0	457	20	0	128
1323	71	0	0	127389	0	0	0
1324	26	0	10	414	0	0	0
1325	701	0	3585	0	377	0	4003
1326	8505	1467	5234	0	0	0	10309
1327	26	0	49	394	0	0	0
1328	19	0	47	0	0	0	0
1329	20	0	68	0	0	159	0
1330	0	0	0	1368	0	0	0
1331	0	0	986	45	0	0	0
1332	0	0	66	0	28	0	10
1333	15	0	90	0	0	0	0
1334	46	78	192	0	0	0	85
1335	219	0	400	0	21	462	166
1336	0	0	0	0	13	0	0
1337	0	0	21	21	0	0	0
1338	0	0	22	0	0	0	61
1339	35	0	2348	0	23	0	0
1340	3005	18	0	0	0	0	0
1341	11	0	594	0	49	0	0
1342	0	0	0	0	0	0	465
1343	72	22	257	0	1947	0	76
1344	108	0	121	0	0	0	0
1345	60	0	157	0	0	0	40
1346	14	0	116	0	0	0	0
1347	69789	61117	203081	2725	605608	29	15112
1348	0	0	12	0	0	0	0
1349	131	0	17	0	0	0	0
1350	24	0	0	0	0	0	0
1351	243	0	36	0	448	0	0
1352	533	38	826	1523	4720	108	147
1353	0	0	72	0	0	0	0
1354	0	0	11	0	0	0	0
1355	0	0	94	0	41	0	245
1356	64	0	40	0	0	0	0
1357	1335	0	0	0	0	0	0
1358	0	0	0	0	0	0	51
1359	133	0	350	0	0	0	0
1360	190	0	77	0	521	23	0
1361	0	19	44	0	0	0	528
1362	0	0	10	0	0	0	0
1363	14	0	50	0	0	0	0
1364	0	0	26	0	0	0	39
1365	0	0	694	0	0	0	10
1366	25	0	375	0	0	0	0
1367	349	0	115	0	0	0	0
1368	0	0	44	0	21	0	0
1369	0	12	1187	135	5213	0	27
1370	54	0	13	0	0	0	0
1371	0	0	0	0	3269	0	0
1372	41	0	173	0	0	0	0
1373	293	0	0	0	0	0	0
1374	0	0	1530	21	0	0	0
1375	35	0	906	0	1386	0	216
1376	662	0	1932	0	1609	0	59
1377	187	0	0	0	0	0	0
1378	0	0	245	0	0	0	0
1379	0	0	48	0	0	0	0
1380	108	0	0	0	0	0	24
1381	35	0	57	0	0	0	49
1382	12	0	32	0	0	0	0
1383	1151	242	3017	1518	18881	153	3391
1384	79	0	0	0	0	0	0
1385	123	0	0	0	0	0	0
1386	99	0	22	80	189	0	0
1387	0	993	0	0	0	0	0
1388	1015	0	1922	179	0	0	188
1389	341	1585	926	75	302	0	5687
1390	0	0	0	0	6804	0	0
1391	0	0	0	39	0	0	0
1392	0	0	320	46	0	0	0
1393	0	0	109	0	0	0	0
1394	0	0	15	0	0	0	0
1395	38	0	0	0	0	0	0
1396	4599	0	24	0	0	12	0
1397	185	0	0	0	0	0	0
1398	0	0	0	0	341	0	0
1399	50	132	102	0	0	0	0
1400	35	0	0	0	0	12	0
1401	259	0	2831	26	33	0	46
1402	32	0	32	0	19	0	0
1403	889	57380	4457	21	0	0	77
1404	16	0	60	0	0	0	0
1405	355	0	147	157	275	0	26
1406	59	12	633	445	28	0	52
1407	179	0	19	0	0	0	0
1408	98	203	116	0	0	0	25
1409	31	0	26	0	0	0	0
1410	172	32	0	0	0	0	0
1411	453	0	0	0	0	0	0
1412	281	0	95	0	0	0	0
1413	38	0	0	0	412	0	0
1414	0	0	34	0	50	0	139071
1415	0	11	121	0	0	0	0
1416	0	0	375	0	0	0	0
1417	218	0	268	18	15714	34	0
1418	0	0	75	0	0	0	0
1419	765	387	322630	392152	6547	2011	3279
1420	63	0	20	0	0	0	16
1421	1522	394	12875	731	89	0	0
1422	30	0	269	12	23	0	48
1423	375	0	0	0	0	0	0
1424	0	0	98	0	0	0	0
1425	0	0	27	0	0	0	22
1426	89	0	878	0	0	0	0
1427	0	0	983	0	0	0	0
1428	0	0	0	0	0	0	220
1429	82	0	766	200	0	0	59
1430	0	0	0	0	0	0	23
1431	0	0	29	0	0	0	0
1432	77069	4741346	324	2311592	576325	47927	1932954
1433	427	0	211	0	0	0	20
1434	63	0	121	4630	1829	0	30
1435	40	0	41	0	102	0	80
1436	0	0	0	43	0	0	0
1437	60	196	334	0	0	0	0
1438	87	0	0	0	23	0	0
1439	0	0	24	0	0	0	0
1440	106	13	289	0	47	0	0
1441	204	0	0	0	0	0	0
1442	112	0	224	0	75	0	0
1443	922	20	0	0	0	0	0
1444	0	0	0	0	0	0	59
1445	0	0	108	0	98	0	0
1446	56	0	79	0	0	0	0
1447	60	0	0	0	330	0	0
1448	0	16	0	0	0	0	0
1449	0	0	0	0	0	85	0
1450	557	0	101	17	35	0	0
1451	0	0	52	0	0	0	0
1452	73	229	0	0	0	0	0
1453	192	842	434	0	0	0	0
1454	234	31	139	0	0	0	58
1455	276	0	932	0	0	0	0
1456	91	0	31	0	138	0	0
1457	14	377	172	0	0	0	0
1458	0	0	90	0	0	0	0
1459	13	533	75	0	0	0	0
1460	0	0	48	0	0	0	0
1461	15	0	215	0	10	0	0
1462	41	16	122	87	0	0	0
1463	99	0	0	0	0	0	4838
1464	29	0	24	0	0	0	0
1465	27	0	288	0	0	0	0
1466	0	0	266	0	0	0	0
1467	101	0	186	0	0	0	0
1468	0	0	14	0	0	0	0
1469	106	0	0	22	0	0	45
1470	17	16	32	0	0	0	0
1471	624	20	594	31	14	0	233
1472	0	0	28	0	0	0	0
1473	179	0	60	0	0	0	163
1474	31	0	12	0	0	0	21
1475	1568	0	5047	51	319	12	227
1476	11	0	0	0	0	0	0
1477	22	0	43	0	0	0	0
1478	0	0	10	0	0	0	0
1479	5132	0	0	250	0	0	0
1480	0	0	69	18	99	0	0
1481	30	0	0	0	0	0	0
1482	53495	15072	3926	26284	24255	1160	266764
1483	43	0	83	0	17	0	0
1484	0	0	0	0	0	16	0
1485	225	0	0	0	0	0	0
1486	103	0	195	0	0	0	0
1487	0	0	0	147	40	0	31
1488	0	0	141	0	0	0	0
1489	29	50	102	0	0	0	0
1490	14	0	0	0	0	0	0
1491	82	0	36	0	0	0	0
1492	45	21	405	12	13	0	37
1493	80	0	0	0	0	0	0
1494	0	0	79	0	0	0	0
1495	47	0	1880	0	0	0	0
1496	104	0	40	0	0	0	0
1497	0	0	24	0	0	0	0
1498	0	0	0	51	0	0	0
1499	32	0	45	0	0	0	0
1500	0	0	0	0	12	0	0
1501	211	0	0	0	0	0	0
1502	207	0	973	0	0	0	1132
1503	0	16	121	0	0	0	0
1504	0	0	0	0	0	10246	0
1505	84	11	0	0	0	0	0
1506	131	118	72	0	0	0	19
1507	0	0	98	0	0	0	0
1508	26	0	16	0	0	0	0
1509	0	0	20	0	0	0	0
1510	0	0	180	0	0	0	0
1511	0	28	116	0	0	0	0
1512	131	47	26	0	0	0	56
1513	499	0	171	0	0	0	278
1514	1428	0	229	259	0	0	0
1515	39	0	863	10	0	0	0
1516	104	0	0	29	0	0	0
1517	0	0	11	0	0	0	0
1518	21	0	1361	0	837	0	22
1519	20	0	938	0	0	0	0
1520	0	30	0	0	0	0	0
1521	285	252	2362	0	20	0	0
1522	0	0	12	0	0	0	0
1523	35	0	101	0	0	0	31
1524	65	0	55	0	0	0	0
1525	0	0	0	47	0	0	0
1526	1970	0	0	205	0	0	468
1527	98	0	0	202	0	0	0
1528	3881	0	0	0	0	0	15
1529	0	0	0	0	0	29	0
1530	64	0	297	0	0	0	83
1531	0	0	0	0	0	0	19
1532	0	0	60	0	58	0	0
1533	181	0	22	0	0	0	0
1534	0	0	0	0	0	0	66
1535	0	0	156	0	0	0	0
1536	363	49	548	27	0	0	0
1537	0	0	108	0	0	0	0
1538	97	0	0	7730	0	0	0
1539	0	0	15	0	0	0	0
1540	0	0	56	0	0	0	15
1541	63	0	0	442	0	0	0
1542	0	1373	111	17	0	0	0
1543	42	0	0	44	0	0	0
1544	23	0	1714	0	0	0	129
1545	0	0	292	0	0	0	0
1546	0	0	45	0	0	0	0
1547	0	0	16	18	0	0	0
1548	126	0	101	0	0	0	0
1549	0	0	0	370	0	0	0
1550	30	579	319	0	0	0	17
1551	127	0	126	0	0	0	0
1552	573	0	56	86	0	0	0
1553	102	1122	157	0	0	0	0
1554	0	0	32	0	0	0	0
1555	0	0	12	0	0	0	0
1556	0	0	43	0	0	0	0
1557	288	0	498	0	0	0	0
1558	4013	4142	4137	765	4850	31	1788
1559	0	0	0	22	199	0	0
1560	20	354	351	21	0	0	0
1561	784	0	88	0	0	0	0
1562	1099	20	2498	2955	26	60	214
1563	22	0	0	0	0	0	0
1564	57	0	28	16	0	0	0
1565	21	0	296	0	0	0	31
1566	449	0	0	0	0	0	0
1567	0	0	69	0	0	10150	0
1568	27	10	34	0	0	0	0
1569	0	0	27	0	0	0	85
1570	89	0	10	25	0	0	0
1571	12	0	405	0	0	0	39
1572	32	0	91	0	0	0	0
1573	0	10	0	0	0	0	0
1574	0	0	59	0	0	209	0
1575	11	0	11	0	0	0	0
1576	0	0	0	338	0	0	0
1577	0	0	197	0	0	0	0
1578	153	0	297	0	0	0	0
1579	360	0	264	39	0	0	601
1580	15	18	55	0	0	0	0
1581	0	0	10	0	0	0	0
1582	89	525	2830	0	0	0	31
1583	0	0	1230	0	0	0	0
1584	0	0	0	0	0	18	154
1585	210	0	54	0	0	0	0
1586	26	0	0	0	0	14	0
1587	143	0	10	0	0	0	18
1588	32	0	43	0	0	0	0
1589	482	0	400	56	46	0	162
1590	0	0	0	0	4105	0	0
1591	151	0	246	0	40	0	506
1592	21	0	30	48	0	0	0
1593	48	103	252	0	138	0	71
1594	129	0	25	0	0	0	0
1595	14	32	0	0	0	0	0
1596	0	23	32	0	0	0	0
1597	20	0	38	0	0	0	0
1598	116	0	971	0	141	0	0
1599	106	0	228	0	55	0	0
1600	41	122	22	0	0	0	325
1601	44	0	198	0	0	0	0
1602	0	0	10	0	0	0	0
1603	6436	1079	15309	311	12066	1045	7216
1604	0	0	487	0	0	0	0
1605	0	0	194	0	0	0	0
1606	101	30	219	0	0	0	0
1607	392	0	0	0	0	0	0
1608	152	0	128	0	558	0	0
1609	507	0	29	0	0	0	137
1610	0	0	1461	0	0	0	0
1611	16	0	825	0	0	0	0
1612	386	17855	33	0	0	0	0
1613	1064	0	499	0	0	0	0
1614	32	0	51	0	0	0	0
1615	49	0	0	25	0	0	0
1616	28	0	60	0	14	0	0
1617	0	0	69	0	0	0	0
1618	2426	0	166	0	0	0	0
1619	88	0	0	0	0	0	0
1620	0	0	18	0	0	0	34
1621	0	0	26	0	0	0	0
1622	13	0	0	0	0	0	0
1623	0	17	44	17	42	72	0
1624	64	0	0	0	0	0	0
1625	851	16	0	0	0	0	0
1626	390	5661	1624	0	11130	0	70
1627	69	0	18	0	0	0	0
1628	197	14	3667	0	229	12	24
1629	0	0	0	0	0	0	0
1630	0	0	0	0	0	0	0
1631	547	0	0	0	1476	0	0
1632	0	0	0	746	0	0	0
1633	0	0	0	0	2198	0	0
1634	92	64	222	0	32	0	0
1635	0	0	14	0	0	0	0
1636	2778	1077	9195	1788	9517	547	41619
1637	0	0	1921	0	0	0	0
1638	0	0	0	21	0	0	0
1639	670	0	0	682	0	0	0
1640	22	0	0	0	0	0	0
1641	22	0	0	0	0	0	0
1642	23	0	41	0	0	0	0
1643	1560	642	7812	49	32878	72	3045
1644	346	67	1515	0	2152	0	363
1645	0	0	52	0	0	0	0
1646	0	271	0	0	0	0	0
1647	0	0	34	0	0	0	166
1648	174	0	68	0	63	0	16
1649	0	23	0	0	0	0	0
1650	51	40	175	0	3338	0	0
1651	0	0	74	0	0	0	0
1652	0	0	0	0	0	0	138
1653	0	0	60	67	0	0	0
1654	417	0	0	0	0	0	0
